eo_id,chunk_id,chunk_length,chunk_text
14321,1,56,ending crime and disorder on americas streets  section 1
14321,2,18,purpose and policy
14321,3,107,endemic vagrancy disorderly behavior sud den confrontations and violent attacks have made our cities unsafe
14321,4,173,the number of individuals living on the streets in the united states on a single night during the last year of the previous administration274224was the highest ever recorded
14321,5,107,the overwhelming majority of these individuals are addicted to drugs have a mental health condition or both
14321,6,140,nearly twothirds of homeless individuals report having regularly used hard drugs like methamphetamines cocaine or opioids in their lifetimes
14321,7,95,an equally large share of homeless individuals reported suffering from mental health conditions
14321,8,204,the federal government and the states have spent tens of billions of dollars on failed programs that address homelessness but not its root causes leaving other citizens vulnerable to public safety threats
14321,9,161,shifting homeless individuals into longterm institutional settings for humane treatment through the appropriate use of civil commitment will restore public order
14321,10,117,surrendering our cities and citizens to disorder and fear is neither compassionate to the homeless nor other citizens
14321,11,78,my administration will take a new approach focused on protecting public safety
14321,12,26,restoring civil commitment
14321,13,955,a the attorney general in consultation with the secretary of health and human services shall take appropriate action to i seek in appropriate cases the reversal of federal or state judicial precedents and the termination of consent decrees that impede the united states policy of encouraging civil commitment of individuals with mental illness who pose risks to themselves or the public or are living on the streets and cannot care for themselves in appropriate facilities for appro priate periods of time and ii provide assistance to state and local governments through technical guidance grants or other legally available means for the identification adoption and implementation of maximally flexible civil commitment institutional treatment and stepdown treatment standards that allow for the appropriate commitment and treatment of individuals with mental illness who pose a danger to others or are living on the streets and cannot care for themselves
14321,14,37,fighting vagrancy on americas streets
14321,15,1308,a the attorney general the secretary of health and human services the secretary of housing and urban development and the secretary of transportation shall take immediate steps to assess their discretionary grant programs and determine whether priority for those grants may be given to grantees in states and municipalities that actively meet the below criteria to the maximum extent permitted by law i enforce prohibitions on open illicit drug use ii enforce prohibitions on urban camping and loitering iii enforce prohibitions on urban squatting iv enforce and where necessary adopt standards that address individuals who are a danger to themselves or others and suffer from serious mental illness or substance use disorder or who are living on the streets and cannot care for themselves through assisted outpatient treatment or by moving them into treatment centers or other appropriate facilities via civil commitment or other available means to the maximum extent per mitted by law or v substantially implement and comply with to the extent required the registration and notification obligations of the sex offender registry and notification act particularly in the case of registered sex offenders with no fixed address including by adequately mapping and checking the location of homeless sex offenders
14321,16,129,b the attorney general shall i ensure that homeless individuals arrested for federal crimes are evalu ated consistent with 18 usc
14321,17,273,4248 to determine whether they are sexu ally dangerous persons and certified accordingly for civil commitment ii take all necessary steps to ensure the availability of funds under the emergency federal law enforcement assistance program to support as consistent with 34 usc
14321,18,702,50101 et seq encampment removal efforts in areas for which public safety is at risk and state and local resources are inadequate iii assess federal resources to determine whether they may be directed toward ensuring to the extent permitted by law that detainees with serious mental illness are not released into the public because of a lack of forensic bed capacity at appropriate local state and federal jails or hospitals and iv enhance requirements that prisons and residential reentry centers that are under the authority of the attorney general or receive funding from the attorney general require incustody housing release plans and to the maximum extent practicable require individuals to comply
14321,19,81,redirecting federal resources toward effective methods of addressing homelessness
14321,20,1109,a the secretary of health and human services shall take appropriate action to i ensure that discretionary grants issued by the substance abuse and mental health services administration for substance use disorder preven tion treatment and recovery fund evidencebased programs and do not fund programs that fail to achieve adequate outcomes including socalled harm reduction or safe consumption efforts that only facilitate illegal drug use and its attendant harm ii provide technical assistance to assisted outpatient treatment programs for individuals with serious mental illness or addiction during and after the civil commitment process focused on shifting such individuals off of the streets and public programs and into private housing and support networks and iii ensure that federal funds for federally qualified health centers and certified community behavioral health clinics reduce rather than promote homelessness by supporting to the maximum extent permitted by law comprehensive services for individuals with serious mental illness and substance use disorder including crisis intervention services
14321,21,184,b the attorney general shall prioritize available funding to support the expansion of drug courts and mental health courts for individuals for which such diversion serves public safety
14321,22,70,increasing accountability and safety in americas homelessness programs
14321,23,255,a the secretary of health and human services and the secretary of housing and urban development shall take appropriate actions to increase accountability in their provision of and grants awarded for homelessness assistance and transitional living programs
14321,24,380,these actions shall include to the extent permitted by law ending support for housing first policies that deprioritize accountability and fail to promote treatment recovery and selfsufficiency increasing competition among grantees through broadening the applicant pool and holding grantees to higher standards of effectiveness in reducing homelessness and increasing public safety
14321,25,382,b the secretary of housing and urban development shall as appropriate take steps to require recipients of federal housing and homelessness assist ance to increase requirements that persons participating in the recipients programs who suffer from substance use disorder or serious mental illness use substance abuse treatment or mental health services as a condition of participation
14321,26,369,c with respect to recipients of federal housing and homelessness assist ance that operate drug injection sites or safe consumption sites knowingly distribute drug paraphernalia or permit the use or distribution of illicit drugs on property under their control i the attorney general shall review whether such recipients are in viola tion of federal law including 21 usc
14321,27,357,856 and bring civil or criminal actions in appropriate cases and ii the secretary of housing and urban development in coordination with the attorney general shall review whether such recipients are in violation of the terms of the programs pursuant to which they receive federal housing and homelessness assistance and freeze their assistance as appropriate
14321,28,356,d the secretary of housing and urban development shall take appropriate measures and revise regulations as necessary to allow where permissible under applicable law federally funded programs to exclusively house women and children and to stop sex offenders who receive homelessness assistance through such programs from being housed with unrelated children
14321,29,802,e the secretary of housing and urban development in consultation with the attorney general and the secretary of health and human services shall as appropriate and to the extent permitted by law i allow or require the recipients of federal funding for homelessness assistance to collect healthrelated information that the secretary of hous ing and urban development identifies as necessary to the effective and efficient operation of the funding program from all persons to whom such assistance is provided and ii require those funding recipients to share such data with law enforce ment authorities in circumstances permitted by law and to use the collected health data to provide appropriate medical care to individuals with mental health diagnoses or to connect individuals to public health resources
14321,30,18,general provisions
14321,31,297,a nothing in this order shall be construed to impair or otherwise affect i the authority granted by law to an executive department or agency or the head thereof or ii the functions of the director of the office of management and budget relating to budgetary administrative or legislative proposals
14321,32,114,b this order shall be implemented consistent with applicable law and subject to the availability of appropriations
14321,33,259,c this order is not intended to and does not create any right or benefit substantive or procedural enforceable at law or in equity by any party against the united states its departments agencies or entities its officers employees or agents or any other person
14321,34,107,d the costs for publication of this order shall be borne by the department of housing and urban development
14322,1,32,saving college sports  section 1
14322,2,18,purpose and policy
14322,3,216,college sports are a uniquely american institution that provide lifechanging educational and leadershipdevelop ment opportunities to more than 500000 studentathletes through almost 4 billion in scholarships each year
14322,4,158,college athletics also provide substantial support to local economies and form an indelible part of family activities pastimes and culture in many communities
14322,5,238,while major college football games can draw tens of millions of television viewers and attendees they feature only a very small sample of the many athletes who benefit from the transformational opportunities that college athletics provide
14322,6,214,sixtyfive percent of the 2024 united states olympic team members were current or former national collegiate athletic association ncaa varsity athletes and approximately seventyfive percent were colle giate athletes
14322,7,139,the 2024 united states olympic team earned 126 total medals leading the overall medal count for the eighth consecutive summer olympic games
14322,8,182,beyond driving our unrivaled success in international competition college athletes are more likely to report better outcomes in important respects during college and after graduation
14322,9,257,a substantial majority of female execu tives at the largest american companies participated in sports during adoles cence many at the high school or collegiate level and examples of business leaders and former presidents who played college sports are legion
14322,10,150,it is no exaggeration to say that americas system of collegiate athletics plays an integral role in forging the leaders that drive our nations success
14322,11,62,yet the future of college sports is under unprecedented threat
14322,12,258,waves of recent litigation against collegiate athletics governing rules have eliminated limits on athlete compensation payforplay recruiting inducements and transfers between universities unleashing a sea change that threatens the viability of college sports
14322,13,220,while changes providing some increased benefits and flexibility to studentathletes were overdue and should be maintained the inability to maintain reasonable rules and guardrails is a mortal threat to most college sports
14322,14,243,to illustrate following a 2021 antitrust ruling from the united states su preme court striking down ncaa restrictions the ncaa changed its rules to permit players to receive compensation for their name image and likeness nil from third parties
14322,15,200,but guardrails designed to ensure that these were legitimate marketvalue nil payments for endorsements or similar services rather than simply payforplay inducements were eliminated through litiga tion
14322,16,86,other limits on player transfers among schools were also taken down through litigation
14322,17,164,this has created an outofcontrol rudderless system in which competing university donors engage in bidding wars for the best players who can change teams each season
14322,18,176,meanwhile more than 30 states have passed their own nil laws in a chaotic race to the bottom sometimes to gain temporary competitive advantages for their major collegiate teams
14322,19,137,as a result players at some universities will receive more than 50 million per year mostly for the revenuegenerating sports like football
14322,20,131,entering the 2024 season players on the eventual college football national champion team were being paid around 20 million annually
14322,21,119,by the 2025 season football players at one university will reportedly be paid 3540 million with revenuesharing included
14322,22,424,this not only reduces competition and parity by creating an oligarchy of teams that can simply buy the best playersincluding the best players from lesswealthy programs at the end of each seasonbut the imperative that university donors must devote everescalating resources to compete in the revenuegenerating sports like football and basketball siphons away the resources necessary to support the panoply of nonrevenue sports
14322,23,228,absent guardrails to stop the madness and ensure a reasonable balanced use of resources across collegiate athletic programs that preserves their educational and developmental benefits many college sports will soon cease to exist
14322,24,390,a national solution is urgently needed to prevent this situation from deterio rating beyond repair and to protect nonrevenue sports including many womens sports that comprise the backbone of intercollegiate athletics drive american superiority at the olympics and other international competitions and catalyze hundreds of thousands of studentathletes to fuel american success in myriad ways
